"Indochina: Namo Village, Panorama Taken from a Rickshaw",Gabriel Veyre,1899,74,t
Indochina: Opium Den,Gabriel Veyre,1899,70,t
Indochina: Children Gathering Rice Scattered by Western Women,Gabriel Veyre,1899,70,t
Oil Wells of Bakou: Close View,Lumière,1899,68,t
The Little Girl and Her Cat,Lumière,1899,66,t
Procession of Baby Carriages at the Paris Nursery,Lumière,1899,65,t
"Festival of Paris, 1899: Parade of Flowered Cars",Lumière,1899,64,t
The Kremos: Somersaults,Lumière,1899,63,t
Kremos: The Pyramid,Lumière,1899,63,t
Strange Adventure of New York Drummer,Edwin S. Porter,1899,56,t
The Kiss in the Tunnel,G.A. Smith,1899,55,t
Mesmerist and Country Couple,J. Stuart Blackton & Albert E. Smith,1899,54,t
The Kiss in the Tunnel,Bamforth and Company,1899,53,t
Indochina: Loading a Cow on Ship,Gabriel Veyre,1899,55,t
King John,W.K.L. Dickson & Walter Pfeffer Dando,1899,50,t
Love and War,James H. White,1899,45,t
Fun In Camp,James H. White,1899,44,t
Trick Bears,James H. White,1899,43,t
Advance of Kansas Volunteers at Caloocan,James H. White,1899,42,t
Three Acrobats,James H. White,1899,40,t
View From a Whaling Boat,Lumière,1900,67,t
Spanish Bullfight,Lumière,1900,67,t
Place du Pont,Lumière,1900,66,t
"Universal Exhibition, 1900: View of a Moving Sidewalk",Lumière,1900,65,t
The One-Man Band,Georges Méliès,1900,60,t
Fat and Lean Wrestling Match,Georges Méliès,1900,59,t
The Enchanted Drawing,J. Stuart  Blackton,1900,64,t
Uncle Josh's Nightmare,Edwin S. Porter,1900,60,t
How it Feels To Be Run Over,Cecil M. Hepworth,1900,58,t
Explosion of a Motor Car,Cecil M. Hepworth,1900,57,t
Let Me Dream Again,G.A. Smith,1900,56,t
The Big Swallow,James Williamson,1900,55,t
Footit and Chocolate: Tipping Chair,Lumière,1900,54,t
As Seen Through a Telescope,G.A. Smith,1900,53,t
Grandma's Reading Glass,G.A. Smith,1900,52,t
Attack on a China Mission,James Williamson,1900,51,t
Spain: Flamenco Dance,Lumière,1900,51,t
Ladies' Skirts Nailed to a Fence,Bamforth and Company,1900,49,t
The Haunted Curiosity Shop,Walter R. Booth,1901,68,t
Story of a Crime,Ferdinand Zecca,1901,68,t
Bluebeard,Georges Méliès,1901,67,t
