1999-03-21, Wadd: The Life and Times of John C. Holmes, Cass Paley, 1998, 52,, 1999
1999-03-21, Close Encounters of the Third Kind, Steven Spielberg, 1977, 62,,
1999-03-23, From Here to Eternity, Fred Zinneman, 1953, 66,,
1999-03-26, Ravenous, Antonia Bird, 1999, 64,, 1999
1999-03-27, Tango, Carlos Saura, 1998, 36,, 1999
1999-03-28, Lock, Stock & Two Smoking Barrels, Guy Ritchie, 1998, 63,, 1999
1999-04-01, The Thief of Bagdad, Raoul Walsh, 1924, 65,,
1999-04-02, True Crime, Clint Eastwood, 1999, 37,, 1999
1999-04-03, Some Nudity Required, Johanna Demetrakas and Odette Springer, 1998, 41,, 1999
1999-04-03, Comedian Harmonists, Joseph Vilsmaier, 1997, 45,, 1999
1999-04-05, Intolerance, D.W. Griffith, 1916, 70,,
1999-04-06, Possessed, Clarence Brown, 1931, 50,,
1999-04-07, The Matrix, Wachowski Brothers, 1999, 62,, 1999
1999-04-10, Un©ut, John Greyson, 1997, 59,,
1999-04-10, A Place Called Chiapas, Nettie Wild, 1998, 57,,
1999-04-10, 10 Things I Hate About You, Gil Junger, 1999, 41,, 1999
1999-04-11, Go, Doug Liman, 1999, 67,, 1999
1999-04-11, Twin Dragons, Ringo Lam and Tsui Hark, 1992, 37,,
1999-04-12, Say Anything, Cameron Crowe, 1989, 70,,
1999-04-14, Cookie's Fortune, Robert Altman, 1999, 62,, 1999
1999-04-17, Never Been Kissed, Raja Gosnell, 1999, 22,, 1999
1999-04-18, The Mirror, Jafar Panahi, 1997, 68,, 1999
1999-04-30, Children of Heaven, Majid Majidi, 1997, 50,, 1999
1999-05-01, Pushing Tin, Mike Newell, 1999, 42,, 1999
1999-05-02, Paulina, Vicky Funari, 1998, 57,, 1999
1999-05-05, Hideous Kinky, Gillies MacKinnon, 1998, 65,, 1999
1999-05-06, La Cucaracha, Perez, 1998, 40,, 1999
1999-05-08, Election, Alexander Payne, 1999, 77,, 1999
1999-05-09, Open Your Eyes, Alejandro Amenábar, 1998, 69,, 1999
1999-05-09, The Mummy, Stephen Sommers, 1999, 47,, 1999
1999-05-10, Les Vampires, Louis Feuillade, 1915, 68,,
1999-05-11, Camille, George Cukor, 1937, 67,,
1999-05-12, God Said 'Ha!'', Julia Sweeney, 1998, 58,, 1999
1999-05-15, The Immigrant, Charles Chaplin, 1917, 66, s,
1999-05-15, The Adventurer, Charles Chaplin, 1917, 68, s,
1999-05-16, The Cure, Charles Chaplin, 1917, 67, s,
1999-05-16, Easy Street, Charles Chaplin, 1917, 84, s,
1999-05-16, eXistenZ, David Cronenberg, 1999, 60,, 1999
1999-05-19, Z, Costa-Gavras, 1969, 65,,
1999-05-19, The Dreamlife of Angels, Erick Zonca, 1998, 79,, 1999
1999-05-21, Carmen, Ernst Lubitsch, 1918, 54,,
1999-05-22, Star Wars: Episode I - The Phantom Menace, George Lucas, 1999, 45,, 1999
1999-05-22, Black Mask, Daniel Lee, 1996, 41,,
1999-05-23, The School of Flesh, Benoît Jacquot, 1998, 65,, 1999
1999-05-25, Notting Hill, Roger Michell, 1999, 41,, 1999
1999-05-26, Branded to Kill, Seijun Suzuki, 1967, 84,,
1999-05-28, Les Enfants terribles, Jean-Pierre Melville, 1950, 92,,
1999-05-29, Mauvais sang, Leos Carax, 1986, 76,,
1999-05-30, The Love Letter, Peter Chan, 1999, 51,, 1999
1999-05-30, The Thin Blue Line, Errol Morris, 1988, 87,,
1999-05-31, Suspiria, Dario Argento, 1977, 53,,
1999-05-31, Three Seasons, Tony Bui, 1999, 51,, 1999
1999-06-01, Kiss Me Deadly, Robert Aldrich, 1955, 91,,
1999-06-02, The Unknown, Tod Browning, 1927, 74,,
1999-06-03, Casablanca, Michael Curtiz, 1942, 93,,
1999-06-04, The Apple, Mohsen Makhmalbaf, 1998, 65,, 1999
1999-06-05, The Winslow Boy, David Mamet, 1999, 65,, 1999
1999-06-05, Nosferatu: Phantom der Nacht, Werner Herzog, 1979, 65,,
1999-06-06, Return With Honor, Frieda Lee Mock and Terry Sanders, 1998, 56,, 1999
1999-06-07, To Catch a Thief, Alfred Hitchcock, 1955, 68,,
1999-06-08, Imitation of Life, John M. Stahl, 1934, 56,,
1999-06-11, Conceiving Ada, Lynn Hershmann-Leeson, 1997, 34,, 1999
1999-06-12, Limbo, John Sayles, 1999, 64,, 1999
1999-06-16, Austin Powers: The Spy Who Shagged Me, Jay Roach, 1999, 53,, 1999
1999-06-22, Tobacco Road, John Ford, 1941, 65,,
1999-06-23, The Blues Accordin' to Lightnin' Hopkins, Les Blank, 1969, 66, s,,
1999-06-23, Gap-Toothed Women, Les Blank, 1988, 61, s,
1999-06-25, The King of Masks, Wu Tian-Ming, 1996, 52,,
1999-06-25, The General's Daughter, Simon West, 1999, 39,, 1999
1999-06-26, Tarzan, Chris Buck and Kevin Lima, 1999, 38,, 1999
1999-06-28, All About Eve, Joseph L. Mankiewicz, 1950, 91,,
1999-06-29, Diary of a Country Priest, Robert Bresson, 1950, 82,,
1999-06-30, The Red Violin, François Girard, 1998, 62,, 1999
1999-07-02, The Music Box, James Parrott, 1932, 50, s,
1999-07-02, Duck Soup, Leo McCarey, 1933, 100,,
1999-07-03, Buena Vista Social Club, Wim Wenders, 1999, 57,, 1999
1999-07-03, Monkey Business, Norman Z. McLeod, 1931, 78,,
1999-07-04, South Park: Bigger, Longer and Uncut, Trey Parker, 1999, 70,, 1999
1999-07-04, Summer of Sam, Spike Lee, 1999, 53,, 1999
1999-07-05, One Froggy Evening, Chuck Jones, 1955, 65, s,
1999-07-05, Hail the Conquering Hero, Preston Sturges, 1944, 88,,
1999-07-06, Day of Wrath, Carl Theodor Dreyer, 1943, 91,,
1999-07-07, An Ideal Husband, Oliver Parker, 1999, 48,, 1999
1999-07-09, Besieged, Bernardo Bertolucci, 1998, 65,, 1999
1999-07-09, The Swindle, Claude Chabrol, 1997, 69,, 1999
1999-07-10, The Loss of Sexual Innocence, Mike Figgis, 1999, 56,, 1999
1999-07-10, Arlington Road, Mark Pellington, 1999, 52,, 1999
1999-07-14, Rosemary's Baby, Roman Polanski, 1968, 91,,
1999-07-15, American Pie, Paul Weitz, 1999, 46,, 1999
1999-07-17, The Blair Witch Project, Daniel Myrick and Eduardo Sánchez, 1999, 85,, 1999
1999-07-17, Two for the Road, Stanley Donen, 1967, 64,,
1999-07-18, Eyes Wide Shut, Stanley Kubrick, 1999, 73,, 1999
1999-07-20, I Confess, Alfred Hitchcock, 1953, 59,,
1999-07-22, Lake Placid, Miner, 1999, 45,, 1999
1999-07-23, King of Hearts, Philippe de Broca, 1966, 55,,
1999-07-24, Dr. Akagi, Shôhei Imamura, 1998, 72,, 1999
1999-07-25, Run Lola Run, Tom Tykwer, 1998, 69,, 1999
1999-07-25, Detroit 9000, Arthur Marks, 1973, 40,,
1999-07-26, Don't Look Now, Nicolas Roeg, 1973, 73,,
1999-07-27, All That Heaven Allows, Douglas Sirk, 1955, 90,,
1999-08-01, The Iron Giant, Brad Bird, 1999, 71,, 1999
1999-08-04, Dick, Andrew Fleming, 1999, 48,, 1999
1999-08-05, Bob & Carol & Ted & Alice, Paul Mazursky, 1969, 63,,
1999-08-06, Deep Blue Sea, Renny Harlin, 1999, 46,, 1999
1999-08-07, Xiu Xiu: The Sent-down Girl, Chen Kaige, 1998, 57,, 1999
1999-08-07, The Book of Life, Hal Hartley, 1998, 66,, 1999
1999-08-07, Les Sanguinaires, Laurent Cantet, 1998, 61,, 1999
1999-08-08, Life on Earth, Abderrahmane Sissako, 1998, 61,, 1999
1999-08-08, The Wall, Alain Berliner, 1998, 41,, 1999
1999-08-09, The Sixth Sense, M. Night Shyamalan, 1999, 55,, 1999
1999-08-12, Mystery Men, Kinka Usher, 1999, 54,, 1999
1999-08-13, The First Night of My Life, Miguel Albaladejo, 1998, 60,, 1999
1999-08-15, After Life, Hirokazu Koreeda, 1998, 80,, 1999
1999-08-16, The Lady From Shanghai, Orson Welles, 1948, 89,,
1999-08-17, S.O.B., Blake Edwards, 1981, 51,,
1999-08-18, The Hole, Tsai Ming-liang, 1998, 79,, 1999
1999-08-19, The Thomas Crown Affair, John McTiernan, 1999, 53,, 1999
1999-08-20, Psycho, Alfred Hitchcock, 1960, 91,,
1999-08-21, Stop Making Sense, Jonathan Demme, 1984, 85,,
1999-08-21, Regret to Inform, Barbara Sonneborn, 1998, 63,, 1999
1999-08-22, My Son the Fanatic, Udayan Prasad, 1997, 71,, 1999
1999-08-23, Saboteur, Alfred Hitchcock, 1942, 50,,
1999-08-23, Shadow of a Doubt, Alfred Hitchcock, 1943, 82,,
1999-08-25, Marnie, Alfred Hitchcock, 1964, 82,,
1999-08-26, The Birds, Alfred Hitchcock, 1963, 87,,
1999-08-28, An Autumn Tale, Eric Rohmer, 1998, 72,, 1999
1999-08-28, Vertigo, Alfred Hitchcock, 1958, 100,,
1999-08-28, Four Corners, James Benning, 1997, 64,, 1999
1999-09-01, Un Coeur en hiver, Claude Sautet, 1992, 79,,
1999-09-03, Reservoir Dogs, Quentin Tarantino, 1992, 91,,
1999-09-03, Bowfinger, Steve Martin, 1999, 47,, 1999
1999-09-04, Heavenly Creatures, Peter Jackson, 1994, 91,,
1999-09-05, The Muse, Albert Brooks, 1999, 45,, 1999
1999-09-06, Twin Falls Idaho, Michael Polish, 1999, 42,,
1999-09-07, La Belle noiseuse, Jacques Rivette, 1991, 82,,
1999-09-07, The Big Lebowski, Joel Coen, 1998, 73,, 1999
1999-09-09, German Song, Sadie Benning, 1995, 68, s,
1999-09-09, The Judy Spots, Sadie Benning, 1995, 68, s,
1999-09-09, Flat is Beautiful, Sadie Benning, 1998, 69, s,
1999-09-10, The Texas Chain Saw Massacre, Tobe Hooper, 1974, 82,,
1999-09-11, Trick, Jim Fall, 1999, 52,, 1999
1999-09-11, Regeneration, Raoul Walsh, 1915, 50,,
1999-09-11, The Police Force of New York City, Edison, 1910, 29, s,
1999-09-12, Illuminata, John Turturro, 1998, 56,, 1999
1999-09-12, Broken Blossoms, D.W. Griffith, 1919, 87,,
1999-09-13, Modern Romance, Albert Brooks, 1981, 86,,
1999-09-14, Stir of Echoes, David Koepp, 1999, 40,, 1999
1999-09-18, The Ogre, Volker Schlöndorff, 1996, 59,,
1999-09-18, Sunnyside, Charles Chaplin, 1919, 60, s,
1999-09-19, The Dinner Game, Francis Veber, 1998, 39,, 1999
1999-09-20, Love and Other Catastrophes, Emma-Kate Croghan, 1996, 49,,
1999-09-21, The Spiders Part 1: The Golden Lake, Fritz Lang, 1919, 58,,
1999-09-22, The Spiders Part 2: The Diamond Ship, Fritz Lang, 1920, 59,,
1999-09-23, Short of Breath, Jay Rosenblatt, 1990, 94, s,
1999-09-23, Let's Rodeo, Lee Daniel, 1984, 65, s,
1999-09-23, Brain in the Desert, Jay Rosenblatt and Jennifer Frame, 1990, 68, s,
1999-09-23, Late Air, Lee Daniel, 1986, 63, s,
1999-09-23, Pretty Vacant, Jim Mendiola, 1996, 58, s,
1999-09-23, The Smell of Burning Ants, Jay Rosenblatt, 1994, 71, s,
1999-09-23, Restricted, Jay Rosenblatt, 1999, 72, s, 1999
1999-09-24, The Short and the Curlies, Mike Leigh, 1987, 50, s,
1999-09-24, The Five Minute Films, Mike Leigh, 1982, 52, s,
1999-09-26, 'Rameau's Nephew' by Diderot (Thanx to Dennis Young) by Wilma Schoen, Michael Snow, 1974, 69,,
1999-09-27, American Beauty, Sam Mendes, 1999, 67,, 1999
1999-09-28, I Stand Alone, Gaspar Noé, 1998, 71,, 1999
1999-10-03, Eternity and a Day, Theo Angelopoulos, 1998, 53,, 1999
1999-10-06, Three Kings, David O. Russell, 1999, 68,, 1999
1999-10-07, The Straight Story, David Lynch, 1999, 68,, 1999
1999-10-08, I Created Lancelot Link, Diane Bernard and Jeff Krulik, 1999, 54, s,
1999-10-09, Nashville, Robert Altman, 1975, 70,,
1999-10-10, All About My Mother, Pedro Almodóvar, 1999, 69,, 1999
1999-10-11, Wednesday's Child, Brad Marlowe, 1999, 24,, 1999
1999-10-12, Princess Mononoke, Hiyao Miyazaki, 1997, 69,, 1999
1999-10-15, Mumford, Lawrence Kasdan, 1999, 54,, 1999
1999-10-16, Fight Club, David Fincher, 1999, 77,, 1999
1999-10-17, Black Cat, White Cat, Emil Kusturica, 1998, 67,, 1999
1999-10-20, American Movie, Chris Smith, 1999, 86,, 1999
1999-10-21, The Wild Bunch: An Album in Montage, Paul Seydor, 1996, 91,,
1999-10-21, Ride the High Country, Sam Peckinpah, 1962, 64,,
1999-10-23, The Third Man, Carol Reed, 1949, 90,,
1999-10-24, Romance, Catherine Breillat, 1999, 59,, 1999
1999-10-24, The Limey, Steven Soderbergh, 1999, 72,, 1999
1999-10-30, Bringing Out the Dead, Martin Scorsese, 1999, 62,, 1999
1999-10-31, Lucie Aubrac, Claude Berri, 1997, 55,, 1999
1999-11-02, Vengeance is Mine, Shôhei Imamura, 1979, 72,,
1999-11-06, Being John Malkovich, Spike Jonze, 1999, 89,, 1999
1999-11-06, A Clockwork Orange, Stanley Kubrick, 1971, 68,,
1999-11-07, The Insider, Michael Mann, 1999, 67,, 1999
1999-11-07, Shoot the Piano Player, François Truffaut, 1960, 92,,
1999-11-07, Les Mistons, François Truffaut, 1957, 76, s,
