WatchedDate,Title,Directors,Year,Rating
08/09/1998, Pi, Daren Aronofsky, 1998, 61
08/11/1998, The Second Circle, Aleksandr Sokurov, 1990, 73
08/11/1998, The Shadow, Part 13: The Wheels of Death, James W. Horne, 1940, 35
08/11/1998, His Girl Friday, Howard Hawks, 1940, 97
08/12/1998, Twentieth Century, Howard Hawks, 1934, 89
08/13/1998, The Shadow, Part 14: The Sealed Room, James W. Horne, 1940, 35
08/13/1998, The Apartment, Billy Wilder, 1960,
08/14/1998, Caught in a Cabaret, Mabel Normand, 1914, 54
08/14/1998, Some Like it Hot, Billy Wilder, 1959,
08/15/1998, Marie baie des anges, Manuel Pradal, 1997, 50
08/15/1998, Blood Feast, Gordon Herschell Lewis, 1963, 46
08/16/1998, Between Showers, Henry Lehrman, 1914, 57
08/16/1998, The Masquerader, Charles Chaplin, 1914, 59
08/16/1998, A Film Johnnie, George Nichols, 1914, 65
08/16/1998, Caught in the Rain, Charles Chaplin, 1914, 54
08/16/1998, Mabel's Busy Day, Mabel Normand, 1914, 49
08/16/1998, The Face on the Bar Room Floor, Charles Chaplin, 1914, 46
08/18/1998, It's Always Fair Weather, Gene Kelly & Stanley Donen, 1955, 66
08/21/1998, Days of Heaven, Terence Malick, 1978, 93
08/22/1998, Your Friends & Neighbors, Neil LaBute, 1998, 65
08/23/1998, The Mother and the Whore, Jean Eustache, 1973, 95
08/24/1998, Riverdogs, Robb Moss, 1978, 48
08/24/1998, The Tourist, Robb Moss, 1991, 52
08/25/1998, A Small Domain, Britta Sjogren, 1995, 42
08/25/1998, The Hours and Times, Christopher Münch, 1992, 77
08/26/1998, Color of a Brisk and Leaping Day, Christopher Münch, 1996, 62
08/29/1998, The Mask of Zorro, Martin Campbell, 1998, 47
09/02/1998, The Big Clock, John Farrow, 1948, 65
09/02/1998, The Silver Screen: Color Me Lavender, Mark Rappaport, 1998, 71
09/03/1998, Double Indemnity, Billy Wilder, 1944, 99
09/04/1998, The Killers, Robert Siodmak, 1946, 69
09/05/1998, Mabel's Strange Predicament, Mabel Lehrman, 1914, 48
09/05/1998, Tango Tangles, Mack Sennett, 1914, 53
09/05/1998, The Star Boarder, George Nichols, 1914, 51
09/05/1998, Next Stop Wonderland, Brad Anderson, 1998, 47
09/06/1998, The Thief, Pavel Chukhray, 1997, 51
09/06/1998, Touch of Evil, Orson Welles, 1958, 91
09/07/1998, Cabiria, Giovanni Pastrone, 1914, 73
09/07/1998, Marius and Jeannette, Robert Guédiguian, 1997, 71
09/07/1998, Home, Sweet Home, D.W. Griffith, 1914, 70
09/07/1998, The Rounders, Charles Chaplin, 1914, 69
09/08/1998, Ali: Fear Eats the Soul, Rainer Werner Fassbinder, 1974, 86
09/11/1998, The Godfather, Francis Ford Coppola, 1972, 90
09/12/1998, Tillie's Punctured Romance, Mack Sennett, 1914, 58
09/12/1998, Rounders, John Dahl, 1998, 54
09/15/1998, The Bitter Tears of Petra von Kant, Rainer Werner Fassbinder, 1972, 91
09/16/1998, Metropolis, Fritz Lang, 1926, 84
09/18/1998, Necrology, Standish Lawder, 1971, 71
09/18/1998, One A.M., Charles Chaplin, 1916, 90
09/18/1998, My Name is Oona, Robert Nelson, 1969, 65
09/18/1998, Unsere Afrikareise, James Kubelka, 1966, 77
09/18/1998, Oh Dem Watermelons, Robert Nelson, 1965, 69
09/18/1998, All My Life, Bruce Baillie, 1966, 59
09/18/1998, Bridges Go Round, Shirley Clarke, 1958, 71
09/18/1998, Futility, Greta Snider, 1989, 62
09/18/1998, Breakfast (Table Top Dolly), Michael Snow, 1976, 68
09/19/1998, L'Arrivée, Peter Tscherkassky, 1998, 75
09/19/1998, The Red Button, Marc-Olivier Picron, 1998, 30
09/19/1998, Organ Cranker, Jon Foulk, 1998, 68
09/19/1998, Gossamer, Patrick Cady, 1997, 38
09/19/1998, Human Remains, Jay Rosenblatt, 1998, 78
09/19/1998, Shirtsleeves, Bruce Bennett, 1998, 30
09/19/1998, Ägypten, Kathrin Resetarits, 1997, 58
09/19/1998, Alone. Life Wastes Andy Hardy, Matthew Arnold, 1998, 90
09/19/1998, Charlie Chimp, Chris Smith, 1994, 68
09/19/1998, Tom Wheeler, Chris Smith, 1993, 65
09/19/1998, Mammals That Gnaw, Chris Smith, 1993, 68
09/19/1998, The Escape, Chris Smith, 1995, 61
09/19/1998, Tom's Flesh, Jane C. Wagner and Tom DiMaria, 1995, 64
09/19/1998, 2 or 3 Things But Nothing for Sure, Jane C. Wagner & Tina Di Feliciantonio, 1997, 53
09/19/1998, The History of Texas City, Bill Daniel, 1991, 59
09/19/1998, Hokey Stoke, Bill Daniel, 1987-94, 59
09/19/1998, Kitchen Sink, Alison Maclean, 1989, 51
09/22/1998, Why Does Herr R. Run Amok?, Rainer Werner Fassbinder, 1970, 67
09/23/1998, The Impostors, Stanley Tucci, 1998, 62
09/24/1998, Funny Games, Michael Haneke, 1997, 78
09/26/1998, Slums of Beverly Hills, Tamara Jenkins, 1998, 53
09/29/1998, Das kleine Chaos, Rainer Werner Fassbinder, 1966, 54
09/29/1998, The Merchant of Four Seasons, Rainer Werner Fassbinder, 1971, 71
10/01/1998, Pleasantville, Gary Ross, 1998, 36
10/01/1998, Rushmore, Wes Anderson, 1998, 94
10/02/1998, Making Sandwiches, Sandra Bullock, 1997, 43
10/02/1998, The Wonderful Ice Cream Suit, Stuart Gordon, 1998, 51
10/03/1998, The Chambermaid on the Titanic, Bigas Luna, 1997, 56
10/03/1998, Blood Simple, Joel Coen, 1984, 83
10/04/1998, Regeneration, Gillies MacKinnon, 1997, 55
10/04/1998, A Soldier's Daughter Never Cries, James Ivory, 1998, 60
10/06/1998, The Mighty, Peter Chelsom, 1998, 47
10/06/1998, Gods and Monsters, Robert Condon, 1998, 39
10/08/1998, Picnic at Hanging Rock, Peter Weir, 1975, 76
10/10/1998, Gadjo dilo, Tony Gatlif, 1997, 66
10/11/1998, One True Thing, Carl Franklin, 1998, 55
10/13/1998, Martha, Rainer Werner Fassbinder, 1973, 75
10/15/1998, They Drive By Night, Raoul Walsh, 1940, 62
10/17/1998, Niagara, Niagara, Bob Gosse, 1997, 51
10/18/1998, Antz, Eric Darnell & Tim Johnson, 1998, 37
10/18/1998, Western, Manuel Poirier, 1997, 71
10/18/1998, Beloved, Johnathan Demme, 1998, 51
10/20/1998, The City Tramp, Rainer Werner Fassbinder, 1966, 52
10/20/1998, Katzelmacher, Rainer Werner Fassbinder, 1969, 49
10/21/1998, Nights of Cabiria, Frederico Fellini, 1957, 91
10/23/1998, Bubba and Ike, Whitney Smith, 1997, 7
10/23/1998, Velvet Goldmine, Todd Haynes, 1998, 70
10/24/1998, Happiness, Todd Solondz, 1998, 70
10/25/1998, Touch of Evil, Orson Welles, 1958, 91
10/27/1998, In a Year of 13 Moons, Rainer Werner Fassbinder, 1978, 88
10/29/1998, Nosferatu, F.W. Murnau, 1922, 85
11/03/1998, Beware of a Holy Whore, Rainer Werner Fassbinder, 1971, 70
11/08/1998, Artemisia, Agnès Merlet, 1997, 45
11/08/1998, Life is Beautiful, Roberto Benigni, 1997, 63
11/09/1998, North on Evers, James Benning, 1992, 57
11/10/1998, Mother Küsters Goes to Heaven, Rainer Werner Fassbinder, 1975, 68
11/15/1998, Meet Joe Black, Martin Brest, 1998, 23
11/17/1998, I Only Want You to Love Me, Ranier Werner Fassbinder, 1976, 74
11/21/1998, Enemy of the State, Tony Scott, 1998, 30
11/22/1998, Celebrity, Woody Allen, 1998, 48
11/22/1998, Elizabeth, Shekhar Kapur, 1998, 46
11/24/1998, Veronika Voss, Rainer Werner Fassbinder, 1982, 86
11/25/1998, Un air de famille, Cédric Klapisch, 1996, 87
11/26/1998, The Celebration, Thomas Vinterberg, 1998, 77
11/27/1998, American History X, Tony Kaye, 1998, 59
11/27/1998, Snake Eyes, Brian DePalma, 1998, 50
11/28/1998, The Wizard of Oz, Victor Fleming, 1939, 80
11/28/1998, The Inheritors, Stefan Ruzowitzky, 1998, 60
11/29/1998, Very Bad Things, Peter Berg, 1998, 48
11/29/1998, The Cruise, Bennett Miller, 1998, 63
11/30/1998, The Fetishist, Jim Trainor, 1997, 55
11/30/1998, Calendar the Siamese, Lewis Klahr, 1997, 63
12/01/1998, Fox and His Friends, Rainer Werner Fassbinder, 1975, 75
12/04/1998, In Flagrante, Chamberlain, 1998, 43
12/05/1998, Geri's Game, Jan Pinkava, 1997, 47
12/05/1998, A Bug's Life, John Lasseter, 1998, 68
12/05/1998, La Désenchantée, Benoît Jacquot, 1990, 65
12/06/1998, Psycho, Gus Van Sant, 1998, 35
12/08/1998, Effi Briest, Rainer Werner Fassbinder, 1974, 71
12/10/1998, The Battleship Potemkin, Sergei Eisenstein, 1925, 66
12/12/1998, Little Voice, Mark Herman, 1998, 34
12/12/1998, A Simple Plan, Sam Raimi, 1998, 72
12/13/1998, Insomnia, Erik Skjoldbjærg, 1997, 70
12/15/1998, Satan's Brew, Rainer Werner Fassbinder, 1976, 69
12/16/1998, Shattered Image, Raoul Ruiz, 1998, 56
12/16/1998, The Faculty, Robert Rodriguez, 1998, 54
12/29/1998, Babe: Pig in the City, George Miller, 1998, 68
12/30/1998, Living Out Loud, Richard LaGravenese, 1998, 54
12/31/1998, The Last Emperor, Bernardo Bertolucci, 1987, 69
12/31/1998, Bottle Rocket, Wes Anderson, 1996, 74
