WatchedDate,Title,Directors,Year,FsmcRating,Rating,
1998-02-28, The Gingerbread Man, Robert Altman, 1998, 67
1998-02-28, Taste of Cherry, Abbas Kiarostami, 1997, 81
1998-03-01, Dark City, Alex Proyas, 1998, 42
1998-03-02, The Real Blonde, Tom DeCillo, 1997, 58
1998-03-04, History Lessons, Danièle Huillet & Jean-Marie Straub, 1972, 56
1998-03-06, Nil by Mouth, Gary Oldman, 1997, 83
1998-03-07, The Long Way Home, Mark Jonathan Harris, 1997, 50
1998-03-08, The Big Lebowski, Joel Coen, 1998, 73
1998-03-11, Mrs. Dalloway, Marleen Gorris, 1997, 48
1998-03-11, Gummo, Harmony Korine, 1997, 68
1998-03-12, Twilight, Robert Benton, 1998, 55
1998-03-13, Rat Life and Diet in North America, Joyce Wieland, 1968, 64
1998-03-13, Reason over Passion, Joyce Wieland, 1969, 50
1998-03-14, Love and Death on Long Island, Richard Kwietniowski, 1997, 84
1998-03-15, The Leading Man, John Duigan, 1996, 59
1998-03-17, Mean Streets, Martin Scorsese, 1973, 87
1998-03-18, My Name is Ivan, Andrei Tarkovsky, 1962, 65
1998-03-19, Citizen Ruth, Alexander Payne, 1996, 78
1998-03-21, Wild Things, John McNaughton, 1998, 55
1998-03-22, Days of Heaven, Terrence Malick, 1978, 93
1998-03-22, Fireworks (Hana-bi), Takeshi Kitano, 1997, 82
1998-03-24, Andrei Rublev, Andrei Tarkovsky, 1969, 93
1998-03-26, Madadayo, Akira Kurosawa, 1993, 67
1998-03-27, The Final Insult, Charles Burnett, 1997, 32
1998-03-28, The Boxer, Jim Sheridan, 1997, 61
1998-03-29, Chronicle of a Disappearance, Elia Suleiman, 1996, 65
1998-03-30, Love Serenade, Shirley Barrett, 1996, 61
1998-03-31, Lone Star, John Sayles, 1996, 65
1998-04-01, Men With Guns, John Sayles, 1997, 67
1998-04-02, Primary Colors, Mike Nichols, 1998, 64
1998-04-03, The Magnificent Ambersons, Orson Welles, 1942, 93
1998-04-05, The Newton Boys, Richard Linklater, 1998, 56
1998-04-06, I Know What You Did Last Summer, Jim Gillespie, 1997, 37
1998-04-08, Mon homme, Bertrand Blier, 1996, 64
1998-04-09, Dead Heart, Nick Parsons, 1996, 61
