The Magic Lantern,Georges Méliès,1903,66,t
The Spiritualist Photographer,Georges Méliès,1903,65,t
The Inn Where No Man Rests,Georges Méliès,1903,64,t
The 20th Century Illusionist,Georges Méliès,1903,63,t
The Enchanted Well,Georges Méliès,1903,62,t
Life of an American Fireman,Edwin S. Porter,1903,62,t
The Apparition,Georges Méliès,1903,61,t
the Drawing Lesson,Georges Méliès,1903,60,t
The Oracle of Delphi,Georges Méliès,1903,59,t
The Infernal Cake-walk,Georges Méliès,1903,58,t
The Music Lover,Georges Méliès,1903,57,t
The Infernal Boiling Pot,Georges Méliès,1903,56,t
"Bob Kick, the Mischevious Kid",Georges Méliès,1903,55,t
Le Tonnerre de Jupiter,Georges Méliès,1903,54,t
Mary Jane's Mishap or Don't Fool With the Paraffin,G.A. Smith,1903,53,t
Extraordinary Cab Accident,Walter R. Booth,1903,52,t
A Desperate Poaching Affray,Walter Haggar,1903,51,t
Romance of the Rails,Edwin S. Porter,1903,50,t
The Georgetown Loop (Colorado),G.W. Bitzer,1903,49,t
Sick Kitten,G.A. Smith,1903,48,t
Street Car Chivalry,Edwin S. Porter,1903,46,t
Uncle Tom's Cabin,Edwin S. Porter,1903,45,t
Skyscrapers of New York City From North River,G.A. Smith,1903,44,t
The Hilarious Posters,Georges Méliès,1904,67,t
Tit for Tat,Georges Méliès,1904,66,t
The Living Playing Cards,Georges Méliès,1904,65,t
The Clock Maker's Dream,Georges Méliès,1904,63,t
Untamable Whiskers,Georges Méliès,1904,62,t
Imperceptible Transmutations,Georges Méliès,1904,60,t
Rescued by Rover,Lewin Fitzhamon & Cecil M. Hepworth,1904,59,t
The Events in Odessa,Lucien Nonguet,1904,58,t
"The Jonah Man: or, the Traveller Bewitched",Cecil M. Hepworth,1904,57,t
European Rest Cure,Edwin S. Porter,1904,51,t
"Rounding Up at the ""Yeggman\""",Edwin S. Porter,1904,47,t
A Father's Honor,Ferdinand Zecca,1905,65,t
"NY Subway, 14th Street to 42nd Street",G.W. Bitzer,1905,64,t
The Incendiary,Ferdinand Zecca,1905,63,t
Paris to Monte Carlo,Georges Méliès,1905,62,t
The Kleptomaniac,Edwin S. Porter,1905,60,t
Airy Fairy Lillian Tries on Her New Corsets,F.A. Dobson,1905,59,t
I.B. Dam and the Whole Dam Family,Lubin Manufacturing Company,1905,57,t
The Life of Charles Peace,Haggar and Sons,1905,55,t
How Jones Lost His Roll,Edwin S. Porter,1905,53,t
Revolution in Odessa,Pathé Frères,1905,50,t
Humorous Phases of Funny Faces,J. Stuart Blackton,1906,66,t
The Dream of a Rarebit Fiend,Edwin S. Porter & Wallace McCutcheon,1906,65,t
Aladdin or the Marvelous Lamp,Pathé Frères,1906,64,t
Seven Ages,Edwin S. Porter,1906,59,t
A Visit to Peek Frean & Co.'s Biscuit Works,J.H. Martin,1906,54,t
San Francisco: Aftermath of Earthquake,Edison,1906,50,t
Army Pack Train Bringing Supplies,Edison,1906,45,t
Eclipse: Courtship of the Sun and Moon,Georges Méliès,1907,69,t
Scenes of Convict Life,Ferdinand Zecca,1907,68,t
The Pumpkin Race,Romeo Bosetti,1907,67,t
Ali Baba and the Forty Thieves,Ferdinand Zecca,1902,64,t
The 'Teddy' Bears,Edwin S. Porter,1907,62,t
The Golden Beetle,Segundo de Chomón,1907,60,t
Child of the Barracade,Alice Guy,1907,56,t
The Runaway Horse,Ferdinand Zecca,1907,54,t
International Contest for the Heavyweight Championship - Quires vs. Bu,Herbert J. Miles,1907,48,t
A Fantasy,Emile Cohl,1908,65,t
A Fish Factory in Astrakhan,Pathé Frères,1908,60,t
Une Dame vraiment bien,Louis Feuillade,1908,57,t
Madame a des envies,Alice Guy,1908,53,t
The Narrow Escape,Pathé Frères,1908,52,t
The Ex-Convict,Edwin S. Porter,1908,48,t
Moscow Clad in Snow,Pathé Frères,1908,45,t
A Corner in Wheat,D.W. Griffith,1909,75,t
The Sealed Room,D.W. Griffith,1909,72,t
The Devilish Tenant,Georges Méliès,1909,68,t
The Princess Nicotine or Smoke Fairy,J. Stuart Blackton,1909,66,t
Le Ratelier de la belle-mère,Emile Cohl,1909,64,t
The Jolly Germs,Emile Cohl,1909,63,t
A Trap for Santa Claus,D.W. Griffith,1909,60,t
Those Awful Hats,D.W. Griffith,1909,56,t
"Nero, or the Fall of Rome",Arturo Ambrosio,1909,52,t
A 16th Century Russian Wedding,Vasili Goncharov,1909,48,t
The Unchanging Sea,D.W. Griffith,1910,68,t
The House with Closed Shutters,D.W. Griffith,1910,66,t
The Doctor's Secret,Georges Méliès,1910,58,t
Aerplane Flight & Wreck(Piloted by M. Cody),[unknown],1910,40,t
Princess Tarakanova,Kai Hansen & Maurice Maître,1910,28,t
La Chambre ensorcelée,Emile Cohl,1911,66,t
His Trust,D.W. Griffith,1911,64,t
"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",Winsor McCay,1911,53,t
The Musketeers of Pig Alley,D.W. Griffith,1912,74,t
An Unseen Enemy,D.W. Griffith,1912,68,t
The Cameraman's Revenge,Ladislaw Starewicz,1912,66,t
Conquest of the Pole,Georges Méliès,1912,64,t
The Painted Lady,D.W. Griffith,1912,62,t
The Sunbeam,D.W. Griffith,1912,61,t
The Burglar's Dilemma,D.W. Griffith,1912,60,t
"One is Business, the Other Crime",D.W. Griffith,1912,59,t
The Automatic Moving Company,Romeo Bosetti,1912,55,t
The New York Hat,D.W. Griffith,1912,53,t
Max and His Dog,Max Linder,1912,48,t
"Onesime, Clockmaker",Jean Durand,1912,45,t
Death's Marathon,D.W. Griffith,1913,69,t
The Mothering Heart,D.W. Griffith,1913,67,t
Juve Against Fantomas,Louis Feuillade,1913,66,t
The Student of Prague,Stellan Rye & Paul Wegener,1913,65,f
The Insect's Christmas,Ladislaw Starewicz,1913,64,t
Traffic in Souls,George Loane Tucker,1913,60,t
He Poses for His Portrait,Emile Cohl,1913,55,t
How Men Propose,Lois Weber,1913,50,t
A House Divided,Alice Guy-Blache,1913,48,t
Matrimony's Speed Limit,Alice Guy-Blache,1913,45,t
Battle at Elderbush Gulch,D.W. Griffith,1914,72,t
"Home, Sweet Home",D.W. Griffith,1914,70,f
"Cruel, Cruel Love",George Nichols,1914,40,t
The Perils of Pauline,Louis J. Gasnier & Donald MacKenzie,1914,39,f
Gertie the Dinosaur,Winsor McCay,1914,38,t
Les Vampires [serial],Louis Feuillade,1915,68,f
Judex,Louis Feuillade,1916,69,f
Triple Trouble,Charles Chaplin & Leo White,1918,36,t
The Cabinet of Dr. Caligari,Robert Wiene,1920,88,f
